Name	Id	File 1	File 2	File 3	File 4	File 5	File 6	File 7	File 8	File 9	File 10	File 11	File 12	File 13	File 14	File 15	File 16	File 17	File 18	File 19	File 20	File 21	File 22	File 23	File 24	File 25	File 26	File 27	File 28	File 29	File 30	File 31	File 32	Beta	Act
Act 3 - Town	20	Act3/Docktown/Boat.dt1	Act3/Docktown/Bridge.dt1	Act3/Docktown/Docks.dt1	Act3/Docktown/Huts.dt1	Act3/Docktown/Market.dt1	Act3/Docktown/Pyramid.dt1	Act3/Docktown/RuinFlr.dt1	Act3/Docktown/RuinWall.dt1	Act3/Docktown/Shack.dt1	Act3/Jungle/Trees.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Act 3 - Jungle	21	Act3/Docktown/Bridge.dt1	Act3/Ground/DarkGrass.dt1	Act3/Ground/DarkMud.dt1	Act3/Ground/DryMud.dt1	Act3/Ground/GreenMud.dt1	Act3/Jungle/Trees.dt1	Act3/Jungle/TreeGrp.dt1	Act3/River/RivBank.dt1	Act3/DockTown/Bridge.dt1	Act3/Jungle/Ruin.dt1	Act3/Spider/SpiderEnt.dt1	Act3/Jungle/DungEnt.dt1	Act3/River/Pool.dt1	Act3/Jungle/Pygmy.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Act 3 - Kurast	22	Act3/Ground/DarkGrass.dt1	Act3/Ground/DarkMud.dt1	Act3/Ground/DryMud.dt1	Act3/Kurast/Floors.dt1	Act3/Kurast/Huts.dt1	Act3/Kurast/Interior.dt1	Act3/Kurast/Roofs.dt1	Act3/Kurast/Sets.dt1	Act3/Kurast/Terraces.dt1	Act3/Kurast/Walls.dt1	Act3/Jungle/Trees.dt1	Act3/Jungle/TreeGrp.dt1	Act3/Travincal/Floors.dt1	Act3/Travincal/Gate.dt1	Act3/Travincal/Terraces.dt1	Act3/Travincal/Walls.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Act 3 - Spider	23	Act3/Spider/Lair.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Act 3 - Dungeon	24	Act3/Jungle/Dungeon.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Act 3 - Sewer	25	Act3/Kurast/Floors.dt1	Act3/Sewer/Floors.dt1	Act3/Sewer/Walls.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Act 4 - Town	26	Act4/Fort/Plaza.dt1	Act4/Fort/Interior.dt1	Act4/Fort/Exterior.dt1	Act4/Fort/ForeGate.dt1	Act4/Mesa/Floor.dt1	Act4/Mesa/Inv_Wall.dt1	Act4/Mesa/Stairs.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Act 4 - Mesa	27	Act4/Mesa/Floor.dt1	Act4/Mesa/Stairs.dt1	Act4/Mesa/Arch_Walls.dt1	Act4/Mesa/Brick_Walls.dt1	Act4/Mesa/Chain_Walls.dt1	Act4/Mesa/Dist_Wall.dt1	Act4/Mesa/Inv_Wall.dt1	Act4/Mesa/Surf_Wall.dt1	Act4/Mesa/Surf_Struct.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Act 4 - Lava	28	Act4/Lava/Floor.dt1	Act4/Lava/Walls.dt1	Act4/Diab/Floor.dt1	Act4/Diab/Walls.dt1	Act4/Diab/Bridge.dt1	Act4/Lava/Extwalls.dt1	Act4/Lava/Intwalls.dt1	Act4/Lava/Floornew.dt1	Act4/Lava/Rocks.dt1	Act4/Lava/Specials.dt1	Act4/Mesa/Surf_Wall.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Expansion																																			
Act 5 - Town	29	Expansion/town/blacksmith.dt1	Expansion/town/ground.dt1	Expansion/town/keepwall.dt1	Expansion/town/otherwalls.dt1	Expansion/town/shrine.dt1	Expansion/town/walls.dt1	Expansion/siege/shrub.dt1	Expansion/town/collision.dt1	Expansion/siege/path.dt1	Expansion/town/tent.dt1	Expansion/siege/snow.dt1	Expansion/siege/trees.dt1	Expansion/Town/Buildingses.dt1	Expansion/Siege/fence.dt1	Expansion/Town/waypt.dt1	Expansion/Town/maingate.dt1	Expansion/Town/clutter.dt1	Expansion/Town/trees.dt1	Expansion/Siege/rockcliff.dt1	Expansion/Siege/rockclifffloor.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Act 5 - Siege	30	Expansion/Siege/ascendors.dt1	Expansion/Siege/camp.dt1	Expansion/Siege/fence.dt1	Expansion/Siege/ground.dt1	Expansion/Siege/rockcliff.dt1	Expansion/Siege/rockclifffloor.dt1	Expansion/Siege/rocks.dt1	Expansion/Siege/shrub.dt1	Expansion/Siege/spike.dt1	Expansion/Siege/trench.dt1	Expansion/Siege/trees.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Act 5 - Barricade	31	Expansion/Siege/Ground.dt1	Expansion/Siege/fence.dt1	Expansion/Siege/cliff.dt1	Expansion/Siege/fortified.dt1	Expansion/Siege/snow.dt1	Expansion/Siege/trees.dt1	Expansion/Siege/special.dt1	Expansion/Siege/trench.dt1	Expansion/Siege/building.dt1	Expansion/town/waypt.dt1	Expansion/Siege/pinetree.dt1	Expansion/Siege/battle.dt1	Expansion/Siege/barricade.dt1	Expansion/Siege/rockclifffloor.dt1	Expansion/Siege/camp.dt1	Expansion/Siege/rockcliff.dt1	Expansion/Siege/ascendors.dt1	Expansion/Siege/spike.dt1	Expansion/Town/collision.dt1	Expansion/Siege/shrub.dt1	Expansion/Siege/rocks.dt1	Expansion/Wildtemple/Entrance.dt1	Expansion/MountainTop/floor.dt1	Expansion/MountainTop/Entrance.dt1	Expansion/MountainTop/Columns.dt1	Expansion/IceCave/Exterior.dt1	Expansion/IceCave/Warps.dt1	Expansion/Ruins/Walls.dt1	Expansion/Ruins/Furnish.dt1	Expansion/Siege/pens.dt1	Expansion/Siege/hellgate.dt1	0	0	5
Act 5 - Temple	32	Expansion/wildtemple/interior.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Act 5 - Ice Caves	33	Expansion/icecave/interior.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Act 5 - Baal	34	Expansion/baallair/walls.dt1	Expansion/baallair/floor.dt1	Expansion/baallair/underwall.dt1	Expansion/baallair/underflr.dt1	Expansion/baallair/worldstone.dt1	Expansion/baallair/throne.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Act 5 - Lava	35	Act4/Lava/Floor.dt1	Act4/Lava/Walls.dt1	Act4/Diab/Floor.dt1	Act4/Diab/Walls.dt1	Act4/Diab/Bridge.dt1	Act4/Lava/Extwalls.dt1	Act4/Lava/Intwalls.dt1	Act4/Lava/Floornew.dt1	Act4/Lava/Rocks.dt1	Act4/Lava/Specials.dt1	Act4/Mesa/Surf_Wall.dt1	Act4/Expansion/Specials.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
