Name	Id	SelectX	SelectY	SelectDX	SelectDY	ExitWalkX	ExitWalkY	OffsetX	OffsetY	LitVersion	Tiles	Direction	Beta
Act 2 Desert to Tomb Tal 5	42	-10	-110	60	150	0	5	-2	-3	0	2	b	0
Act 2 Desert to Tomb Tal 6	43	0	-130	90	150	0	5	-1	0	0	2	b	0
Act 2 Desert to Tomb Tal 7	44	-10	-210	70	240	0	5	0	-3	0	2	b	0
Act 2 Tomb Up	45	-30	-115	75	145	0	5	2	0	1	2	b	0
Act 2 Tomb Down	46	-45	-120	85	145	5	0	0	2	1	2	b	0
Act 2 Desert to Lair	47	-10	-60	90	90	5	5	-2	2	1	2	b	0
Act 2 Lair Up	48	-20	-70	80	85	0	5	1	0	1	2	b	0
Act 2 Lair Down	49	-115	-10	160	70	0	-5	-3	-5	1	2	b	0
Act 2 Desert to Sewer Trap	50	-10	-10	0	0	5	5	0	0	0	2	b	0
Act 3 Jungle to Spider	51	-60	-70	70	90	5	0	0	1	0	2	b	0
Act 3 Spider to Jungle	52	10	-100	80	110	0	5	4	1	1	2	b	0
Act 3 Jungle to Dungeon Fort	53	-15	-70	70	110	0	5	0	0	0	2	b	0
Act 3 Jungle to Dungeon Hole	54	-130	-10	170	100	0	-5	-4	-6	0	2	b	0
Act 3 Dungeon Up	55	-10	-100	90	130	0	5	3	1	1	2	b	0
Act 3 Dungeon Down	56	-40	-20	170	100	-5	0	-4	-1	1	2	b	0
Act 3 Kurast to Sewer	57	-60	-40	120	90	0	5	0	0	1	2	b	0
Act 3 Sewer Up L	58	-75	-110	100	150	5	0	1	1	1	2	b	0
Act 3 Sewer Up R	59	-25	-110	100	150	0	5	6	1	1	2	b	0
Act 3 Sewer Down	60	-10	-10	0	0	5	5	0	0	0	2	b	0
Act 3 Kurast to Temple	61	-10	-10	0	0	5	5	0	0	0	2	b	0
Act 3 Temple Up L	62	-50	-110	80	140	5	0	1	2	1	2	b	0
Act 3 Temple Up R	63	-30	-110	80	140	0	5	2	1	1	2	b	0
Act 3 Travincal to Mephisto	64	-10	-10	0	0	5	5	0	0	0	2	b	0
Act 3 Mephisto Up L	65	-65	-150	125	180	5	0	1	0	1	2	b	0
Act 3 Mephisto Up R	66	-60	-150	125	180	0	5	5	1	1	2	b	0
Act 3 Mephisto Down L	67	-65	-150	125	180	5	0	1	0	1	2	b	0
Act 3 Mephisto Down R	68	-60	-150	125	180	0	5	5	1	1	2	b	0
Act 4 Mesa to Lava	69	-60	-40	150	160	-5	0	2	2	0	2	b	0
Act 4 Lava to Mesa	70	-90	-50	160	120	5	2	0	0	0	2	b	0
Expansion													
Act 5 Barricade Down Wall	71	-70	-80	80	100	5	2	2	6	1	4	l	0
Act 5 Barricade Down Wall	71	-15	-90	70	100	-1	5	6	2	1	4	r	0
Act 5 Barricade Down Floor	72	-20	-120	75	100	5	2	2	2	1	4	b	0
Act 5 Ice Caves Up	73	-60	-110	90	115	5	2	0	5	1	2	l	0
Act 5 Ice Caves Up	73	-10	-120	100	120	2	5	5	1	1	2	r	0
Act 5 Ice Caves Down	74	-60	-110	90	115	5	2	0	5	1	2	l	0
Act 5 Ice Caves Down	74	-20	-110	90	115	2	5	4	0	1	2	r	0
Act 5 Ice Caves Down Floor	75	-5	-110	80	110	2	5	6	3	1	2	b	0
Act 5 Temple Entrance	76	0	-110	95	100	2	5	2	0	1	2	b	0
Act 5 Temple Down	77	0	-70	140	80	5	2	-2	3	1	2	b	0
Act 5 Temple Up	78	-20	-110	100	110	5	2	3	0	1	2	b	0
Act 5 Mountain Top To Ice	79	-40	-110	0	0	2	5	2	1	0	2	b	0
Act 5 Mountain Top To Baal	80	-20	-110	0	0	2	5	2	1	0	2	b	0
Act 5 Baal Temple Up	81	-70	-110	95	115	5	2	1	4	1	2	l	0
Act 5 Baal Temple Up	81	-20	-110	80	115	2	5	4	1	1	2	r	0
Act 5 Baal Temple Down	82	-70	-110	95	115	5	2	1	4	1	2	l	0
Act 5 Baal Temple Down	82	-20	-110	80	115	2	5	4	1	1	2	r	0
