Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin
69	285041630	285041630	285041630	285041630	285041630	285041630	285041630
70	311105466	311105466	311105466	311105466	311105466	311105466	311105466
71	339515048	339515048	339515048	339515048	339515048	339515048	339515048
72	370481492	370481492	370481492	370481492	370481492	370481492	370481492
73	404234916	404234916	404234916	404234916	404234916	404234916	404234916
74	441026148	441026148	441026148	441026148	441026148	441026148	441026148
75	481128591	481128591	481128591	481128591	481128591	481128591	481128591
76	524840254	524840254	524840254	524840254	524840254	524840254	524840254
77	572485967	572485967	572485967	572485967	572485967	572485967	572485967
78	624419793	624419793	624419793	624419793	624419793	624419793	624419793
79	681027665	681027665	681027665	681027665	681027665	681027665	681027665
80	742730244	742730244	742730244	742730244	742730244	742730244	742730244
81	809986056	809986056	809986056	809986056	809986056	809986056	809986056
82	883294891	883294891	883294891	883294891	883294891	883294891	883294891
83	963201521	963201521	963201521	963201521	963201521	963201521	963201521
84	1050299747	1050299747	1050299747	1050299747	1050299747	1050299747	1050299747
85	1145236814	1145236814	1145236814	1145236814	1145236814	1145236814	1145236814
86	1248718217	1248718217	1248718217	1248718217	1248718217	1248718217	1248718217
87	1361512946	1361512946	1361512946	1361512946	1361512946	1361512946	1361512946
88	1484459201	1484459201	1484459201	1484459201	1484459201	1484459201	1484459201
89	1618470619	1618470619	1618470619	1618470619	1618470619	1618470619	1618470619
90	1764543065	1764543065	1764543065	1764543065	1764543065	1764543065	1764543065
91	1923762030	1923762030	1923762030	1923762030	1923762030	1923762030	1923762030
92	2097310703	2097310703	2097310703	2097310703	2097310703	2097310703	2097310703
93	2286478756	2286478756	2286478756	2286478756	2286478756	2286478756	2286478756
94	2492671933	2492671933	2492671933	2492671933	2492671933	2492671933	2492671933
95	2717422497	2717422497	2717422497	2717422497	2717422497	2717422497	2717422497
96	2962400612	2962400612	2962400612	2962400612	2962400612	2962400612	2962400612
97	3229426756	3229426756	3229426756	3229426756	3229426756	3229426756	3229426756
98	3520485254	3520485254	3520485254	3520485254	3520485254	3520485254	3520485254
99	3837739017	3837739017	3837739017	3837739017	3837739017	3837739017	3837739017
