skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Dodge	13	ama	dodge																																											dodge		passive_dodge	dm12																												amazon_dodge_1																																1	0		h2h												S1	S1	xx																										6	20													1						0	8	0	0	1						1												10	min % dodge	65	max % dodge													1								8																																				384	3000
Power Strike	14	ama	power strike	6	2																																																																																																								1	4		h2h		spea										A1	A1	xx				1		1	1								1											6	20					Jab								1						1	6	8	1	1																																10	damage synergy	1	20	12						8	128														ltng	1	0	0	0	0	0	16	18	36	54	72	90	(skill('Lightning Strike'.blvl)+skill('Lightning Bolt'.blvl)+skill('Charged Strike'.blvl)+skill('Lightning Fury'.blvl)) * par8								384	3000
Poison Javelin	15	ama	poison javelin	4										poisonjav	1																																																														amazon_cast_poison		1												11					poisonjav													1	2		rng		jave										TH	TH	xx				1																						6	20												15	1						1	6	16	1	1																																12	damage synergy	1									128														pois	32	16	32	48	64	96	48	16	36	52	68	84	(skill('Plague Javelin'.blvl)) * par8	200	50	50	50				384	3000
Exploding Arrow	16	ama	exploding arrow	4										explodingarrow	1																																																																												11					explodingarrow													1	5		rng		miss										A1	A1	xx				1																						12	20					Fire Arrow	Multiple Shot							1		1				1	7	10	1	1																																12	damage synergy	1	20	9						8	128														fire	2	5	7	9	12	20	6	5	8	11	14	23	(skill('Fire Arrow'.blvl)) * par8								512	8000
Slow Missiles	17	ama	slow missiles		6																50563		slowmissiles	ln34	ln56	skill_handofathena	ln12																																																		amazon_handofathena											cast_slowmissiles																					1	8		none												SC	SC	xx					4												1						amazon_handofathena	cast_slowmissiles		12	20					Inner Sight														1	7	10	0	1																		33	% velocity for missiles	0	% velocity per level	300	duration	150	duration per level	20	radius of effect	0	radius per level					1								8																																				512	8000
Avoid	18	ama	avoid																																											avoid		passive_avoid	dm12																												amazon_dodge_1																																1	0		h2h												S1	S1	xx																										12	20					Dodge								1						0	8	0	0	1						1												15	min % avoid	75	max % avoid													1								8																																				512	8000
Impale	19	ama	impale	7	2																																																																								amazon_impale_1		1	1																													1	6		h2h		spea										SQ	A1	xx	8		1	1		1	1								1											12	20					Jab								1						1	8	3	0	1										ln12	dm%	par6-dm34	dur loss chance	par5	dur loss			300	Percent damage	25	% damage per level	0	% chance durability loss delta min	30	% chance durability loss delta max	1	durability loss	50	% max chance durability loss					1	100	25						8	128																																			512	8000
Lightning Bolt	20	ama	lightning bolt	4										lightningjavelin	1																																																																												11					lightningjavelin													1	6		rng		jave										TH	TH	xx																										12	20					Poison Javelin								1						1	6	24	1	1																																3	damage synergy	1								8	96														ltng	1	0	0	0	0	0	40	12	18	28	48	88	(skill('Lightning Strike'.blvl)+skill('Power Strike'.blvl)+skill('Charged Strike'.blvl)+skill('Lightning Fury'.blvl)) * par8								512	8000
Ice Arrow	21	ama	ice arrow	4										icearrow	1																																																																												11					icearrow													1	6		rng		miss										A1	A1	xx				1																						18	20					Cold Arrow								1		1				1	6	16	1	1																														5	length synergy	8	damage synergy	1	20	9						8	128														cold	6	6	12	18	26	36	10	6	13	19	27	38	(skill('Cold Arrow'.blvl))*par8	50	5	5	5	(skill('Freezing Arrow'.blvl)) * par7			640	16000
Guided Arrow	22	ama	guided arrow	4	10										1		guidedarrow	guidedarrow	guidedarrow																																																																								11	18					guidedarrow	guidedarrow	guidedarrow										1	4		rng		miss										A1	A1	xx				1																						18	20					Cold Arrow	Multiple Shot							1		1				1	6	32	-1	1										ln34	+ dmg%											0	Damage percent	5	damage % per level									1								8	128																																			640	16000
Penetrate	23	ama	penetrate																																											penetrate		item_tohit_percent	ln12																																																												1	1		rng		spea	miss											xx																										18	20					Critical Strike								1						0	8	0	0	1						1												35	add % to hit with missiles base	10	add % to hit with missiles/level													1								8																																				640	16000
Charged Strike	24	ama	charged strike	6	11												chargedstrikebolt	chargedstrikebolt	chargedstrikebolt																																																																									19					chargedstrikebolt	chargedstrikebolt	chargedstrikebolt										1	5		h2h		spea										A1	A1	xx				1		1	1								1											18	20					Power Strike	Lightning Bolt							1						1	6	16	1	1										par1+lvl/par2	# bolts							3	Bolts to send out	5	Additional bolts per N levels											10	damage synergy	1								8															ltng	1	0	0	0	0	0	30	12	16	20	24	28	(skill('Lightning Strike'.blvl)+skill('Lightning Bolt'.blvl)+skill('Power Strike'.blvl)+skill('Lightning Fury'.blvl)) * par8								640	16000
Plague Javelin	25	ama	plague javelin	4										plaguejavelin	1																																																														amazon_cast_poison		1												11					plaguejavelin													1	3		rng		jave										TH	TH	xx				1																						18	20					Lightning Bolt							100	1				1		1	7	14	1	1																																10	damage synergy	1	30	9						3	128														pois	10	6	12	20	40	60	16	6	12	20	40	60	(skill('Poison Javelin'.blvl))*par8	75	10	10	10				640	16000
Strafe	26	ama	strafe	8	12												strafearrow	strafebolt							par5																																																				amazon_dodge_1					paladin_charge									13	20					multipleshotarrow	multipleshotbolt											1	0		rng		miss										A1	A1	xx				1																						24	20					Guided Arrow								1		1				1	8	11	0											"min(par3 + lvl - 1, par4)"	#missiles	ln12	damage %	2+lvl/4	min # missiles			5	Damage increase	5	Damage increase per level	4	Base Shots to take (+1 per level)	10	Max shots to take	35	Radius	50	% frame rollback					1								8	96																																			768	32000
Immolation Arrow	27	ama	immolation arrow	4										immolationarrow	1																																																																												11					immolationarrow													1	6		rng		miss										A1	A1	xx				1																						24	20					Exploding Arrow							25	1		1				1	7	12	1	1										par1	fire disc radius	par2	damage radius					3	Fire disc radius	4	Radial Damage Radius											10	damage synergy	1	30	9						8	128														fire	12	12	23	34	36	38	23	12	23	34	36	38	(skill('Exploding Arrow'.blvl)) * par8								768	32000
Dopplezon	28	ama	dopplezon		15																	dopplezon				fireresist	"min(lvl*par7,85)"	lightresist	"min(lvl*par7,85)"	coldresist	"min(lvl*par7,85)"	poisonresist	"min(lvl*par7,85)"																											dopplezon	dopplezon	1	NU												dopllezon_appear		amazon_valkyrie_cast																																1	4		none												SC	SC	xx					4																					24	20					Slow Missiles														1	6	76	-3	1										lvl*par4	bonus hp%	ln12	duration	par3	%hp of caster			250	duration of decoy	125	duration per level	50	percent hitpoints of caster	10	hp % bonus per level					4	resistances			1								8																																				768	32000
Evade	29	ama	evade																																											evade		passive_evade	dm12																												amazon_dodge_1																																1	0		h2h												S1	S1	xx																										24	20					Avoid								1						0	8	0	0	1						1												10	min % evade	65	max % evade													1								8																																				768	32000
Fend	30	ama	fend	9	13																																																																									amazon_jab_1	1												14	21																	1	0		h2h		spea										A1	A1	xx	9		1			1	1								1											24	20					Impale								1						1	8	5	0											12	max targets	ln34	damage %					1	additional target/level	60	% frame rollback	70	% damage percent	10	damage % per level									1	40	10						8	128																																			768	32000
Freezing Arrow	31	ama	freezing arrow	4										freezingarrow	1																																																																												11					freezingarrow													1	7		rng		miss										A1	A1	xx				1																						30	20					Ice Arrow								1		1				1	7	18	1	1										par1	damage radius							5	Radius of impact											5	length synergy	12	damage synergy	1	40	9						8	128														cold	40	10	15	20	22	24	50	10	15	20	22	24	(skill('Cold Arrow'.blvl))*par8	50				(skill('Ice Arrow'.blvl)) * par7			896	64000
Valkyrie	32	ama	valkyrie		16																					strength	lvl * par2	dexterity	lvl * par4	fireresist	"min((lvl+skill('Dopplezon'.blvl))*par7,85)"	lightresist	"min((lvl+skill('Dopplezon'.blvl))*par7,85)"	coldresist	"min((lvl+skill('Dopplezon'.blvl))*par7,85)"	poisonresist	"min((lvl+skill('Dopplezon'.blvl))*par7,85)"											item_armor_percent	par3 * (lvl - 1)	tohit	toht									valkyrie	valkyrie	1	NU	dodge	skill('Dodge'.blvl)	avoid	skill('Avoid'.blvl)	Evade	skill('Evade'.blvl)	Critical Strike	skill('Critical Strike'.blvl)						amazon_valkyrie_cast																																1	6		none												SC	SC	xx					4												1									30	20					Dopplezon	Evade						150							1	8	25	1	1	1									par1 * (lvl - 1) + skill('Dopplezon'.blvl) * par8	bonus hp%	ln56	itemlevel					20	% hitpoints more per level	25	str per level	10	% AC increase per level	12	dex per level	25	Magic Item level	3	Magic Item level per level	2	resistances	20	hp synergy	1			40*lvl+40*skill('Penetrate'.blvl)					8																																				896	64000
Pierce	33	ama	pierce																																											pierce		skill_pierce	dm12																																																												1	0		rng		miss												xx																										30	20					Penetrate								1						0	8	0	0	1	1					1												10	min % chance	100	max % chance													1								8																																				896	64000
Lightning Strike	34	ama	lightning strike	10	14												lightningstrike	lightningstrike	lightningstrike						par1																																																																			22					lightningstrike	lightningstrike	lightningstrike										1	8		h2h		spea										A1	A1	xx				1		1	1								1											30	20					Charged Strike								1						1	8	9	0	1										20	radius	ln34	hits					20	radius of jump to next target			2	Target hits	1	Target hits per level							8	damage synergy	1								8															ltng	1	0	0	0	0	0	25	10	15	20	25	30	(skill('Charged Strike'.blvl)+skill('Lightning Bolt'.blvl)+skill('Power Strike'.blvl)+skill('Lightning Fury'.blvl)) * par8								896	64000
Lightning Fury	35	ama	lightning fury	4										lightningfury	1						42371				par3																																																																		11					lightningfury													1	8		rng		jave										TH	TH	xx																										30	20					Plague Javelin								1						1	7	20	1	1										ln12	num targets							2	lightning spells from target	1	extra spells/level	15	Target search radius									1	damage synergy	1								8	128														ltng	1	0	0	0	0	0	40	20	30	40	50	50	(skill('Charged Strike'.blvl)+skill('Lightning Bolt'.blvl)+skill('Power Strike'.blvl)+skill('Lightning Strike'.blvl)) * par8								896	64000
Fire Bolt	36	sor	fire bolt											firebolt																																																															sorceress_cast_fire											fire_cast_1								firebolt													1	2		none												SC	SC	xx																	1						sorceress_cast_fire			1	20													1						1	7	5	0	1																																16	damage synergy	1								7															fire	6	3	4	8	18	54	12	3	6	10	20	56	(skill('Fire Ball'.blvl)+skill('Meteor'.blvl))*par8								256	1000
Warmth	37	sor	warmth																																											warmth		manarecoverybonus	ln12																																																												1	0		none												SC	SC	xx																										1	20													1						0	8	0	0	1	1					1												30	increase in mana recovery	12	additional increase/level													1								8															fire																					256	1000
Charged Bolt	38	sor	charged bolt		17												chargedbolt	chargedbolt	chargedbolt																																																										sorceress_cast_lightning											light_cast_1				23					chargedbolt												1	1		none												SC	SC	xx																	1						sorceress_cast_lightning			1	20													1						1	5	24	4	1										"min(24,ln12)"	# bolts							3	Bolts to send out	1	Additional bolts per level											6	damage synergy	1								7															ltng	4	1	1	2	3	4	8	1	1	2	3	4	(skill('Lightning'.blvl))*par8								256	1000
Ice Bolt	39	sor	ice bolt											icebolt																																																															sorceress_cast_cold											ice_cast_1								icebolt													1	5		none												SC	SC	xx																	1						sorceress_cast_cold			1	20													1						1	8	3	0	1																																15	damage synergy	1								7															cold	6	2	4	6	8	10	10	3	5	7	9	11	(skill('Frost Nova'.blvl)+skill('Ice Blast'.blvl)+skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frozen Orb'.blvl))*par8	150	35	35	35				256	1000
Frozen Armor	40	sor	frozen armor		18																	frozenarmor		ln34+(skill('Shiver Armor'.blvl)+skill('Chilling Armor'.blvl))*par7		skill_armor_percent	ln12											damagedinmelee	2																																						sorceress_cast_cold				sorceress_frozenarmor							ice_cast_1	frozenarmor_hit																				1	0		none												SC	SC	xx																	1						sorceress_cast_cold	ice_cast_1		1	20																			1	8	7	0	1	1									ln56*(100+((skill('Shiver Armor'.blvl)+skill('Chilling Armor'.blvl))*par8))/100	freeze length							30	% AC base	5	% AC per level	3000	Duration	300	Duration per level	30	Freeze Frames	3	Freeze Frames per level	250	duration synergy	5	freeze synergy	1								8																																		1		256	1000
Inferno	41	sor	inferno	11	19												infernoflame1	infernoflame1	infernoflame1						ln12/4-2																																																																		15	24					infernoflame1	infernoflame2											1	7		rng												SQ	SQ	xx	6	10																								6	20													1	1				6	0	2	36	1	1										ln12/2	range	20	frames if monster					20	base ranged (doubled)	3	level range (doubled)	6	Min Mana to start casting									13	damage synergy	1								2															fire	32	24	26	28	32	36	64	24	27	29	33	37	(skill('Warmth'.blvl))*par8								384	3000
Static Field	42	sor	static field		20																34691				ln12																																																				sorceress_cast_lightning											light_cast_1																					1	10		none												SC	SC	xx					4												1						sorceress_cast_lightning			6	20																			1	8	9	0	1										par4	damage %	par3	min damage					5	Base radius of effect.	1	Level radius bonus.	0	Minimum Damage.	25	Percent Damage.									1								8															ltng																					384	3000
Telekinesis	43	sor	telekinesis	12	21																				par1																																																				sorceress_cast_lightning				sorceress_telekinesis							light_cast_2																					1	10		none												SC	SC	xx														1									sorceress_telekinesis			6	20																			1	8	7	0	1	1																	25	On-screen cast range.	35	Chance to knockback/stun.													1				5	2	109		8															ltng	1	1	1	1	1	1	2	1	1	1	1	1									384	3000
Frost Nova	44	sor	frost nova		22												frostnova	frostnova	frostnova																																																										sorceress_cast_cold											ice_cast_2				25					frostnova												1	6		none												SC	SC	SC																	36	10					sorceress_cast_cold			6	20																			1	8	9	1	1																		9	radius of freeze	3	additional radius/level											10	damage synergy	1								7															cold	4	4	6	8	10	12	8	5	7	9	11	13	(skill('Blizzard'.blvl)+skill('Frozen Orb'.blvl))*par8	200	25	25	25				384	3000
Ice Blast	45	sor	ice blast											iceblast																																																															sorceress_cast_cold											ice_cast_1								iceblast													1	6		none												SC	SC	xx																	1						sorceress_cast_cold			6	20					Ice Bolt								1						1	7	12	1	1																		75	Duration of freeze	5	additional duration/level									10	freeze synergy	8	damage synergy	1								7															cold	16	14	28	42	56	70	24	15	29	43	57	71	(skill('Ice Bolt'.blvl)+skill('Blizzard'.blvl)+skill('Frozen Orb'.blvl))*par8	75	5	5	5	(skill('Glacial Spike'.blvl))*par7			384	3000
Blaze	46	sor	blaze		23												blaze	blaze	blaze			blaze		dm12																																																					sorceress_cast_fire											fire_cast_2								blaze	firewall	firesmall	firemedium										1	3		none												SC	SC	xx																	1									12	20					Inferno														1	7	22	1	1																		50	Min Frames	500	Max Frames									1	damage synergy	4	damage synergy	1								4															fire	4	2	3	4	6	9	8	2	3	4	6	9	skill('Warmth'.blvl)*par8+skill('Fire Wall'.blvl)*par7								512	8000
Fire Ball	47	sor	fire ball											fireball																																																															sorceress_cast_fire											fire_cast_2								fireball													1	5		none												SC	SC	xx																	1						sorceress_cast_fire			12	20					Fire Bolt								1						1	7	10	1	1																																14	damage synergy	1								7															fire	12	13	23	28	33	38	28	15	25	30	35	40	(skill('Fire Bolt'.blvl)+skill('Meteor'.blvl))*par8								512	8000
Nova	48	sor	nova		22												nova	nova	nova																																																										sorceress_cast_lightning											light_cast_1				25					nova												1	2		none												SC	SC	xx																	36	10					sorceress_cast_lightning			12	20					Static Field														1	8	15	1	1																		12	number of missiles	4	additional missiles per level													1								8															ltng	1	6	7	8	9	10	20	8	9	10	11	12									512	8000
Lightning	49	sor	lightning											lightningbolt																																																															sorceress_cast_lightning											light_cast_1								lightningbolt													1	6		none												SQ	SC	xx	12			1													1						sorceress_cast_lightning			12	20					Charged Bolt								1						1	7	16	1	1																		10	minimum damage	20	max damage	4	increase in dam/level (min & max)									8	damage synergy	1								8															ltng	1	0	0	0	0	0	40	8	12	20	28	36	(skill('Charged Bolt'.blvl)+skill('Chain Lightning'.blvl)+skill('Nova'.blvl))*par8								512	8000
Shiver Armor	50	sor	shiver armor		18																	shiverarmor		ln34+(skill('Frozen Armor'.blvl)+skill('Chilling Armor'.blvl))*par7		skill_armor_percent	ln12											attackedinmelee	3																																						sorceress_cast_cold				sorceress_shiverarmor							ice_cast_2	shiverarmor_hit								sparkle				10	sparkle delay	5	sparkle radius	3	sparkle height			1	0		none												SC	SC	xx																							sorceress_cast_cold	ice_cast_3		12	20					Ice Blast	Frozen Armor													1	8	11	0	1	1																	45	% AC base	6	% AC per level	3000	Duration	300	duration per level					250	duration synergy	9	damage synergy	1								7															cold	12	4	6	8	10	12	16	5	7	9	11	13	(skill('Frozen Armor'.blvl)+skill('Chilling Armor'.blvl))*par8	100		25	50				512	8000
Fire Wall	51	sor	fire wall		24												firewallmaker	firewall																																																											sorceress_cast_fire											fire_cast_2				26					firewallmaker												1	4		none												SC	SC	SC					4				1								1						sorceress_cast_fire			18	20					Blaze							35							1	8	22	1	1																														1	damage synergy	4	damage synergy	1								4															fire	15	9	14	21	21	21	20	9	14	21	21	21	(skill('Warmth'.blvl)*par8+skill('Inferno'.blvl)*par7								640	16000
Enchant	52	sor	enchant		25																	enchant		ln12		firemindam	enma	firemaxdam	exma	item_tohit_percent	toht																																														sorceress_enchant																																1	4		none												SC	SC	xx												1	1				1			1			sorceress_enchant			18	20					Warmth	Fire Ball													1	8	25	1	1	1																	3600	duration	600	duration per level	33	missile pct									9	damage synergy	1	20	9						7															fire	16	3	7	11	15	19	20	5	9	13	17	21	(skill('Warmth'.blvl))*par8								640	16000
Chain Lightning	53	sor	chain lightning		26												chainlightning	chainlightning	chainlightning						par1																																																				sorceress_cast_lightning											light_cast_1				27					chainlightning	chainlightning	chainlightning										1	2		none												SQ	SC	SC	12			1													151	96					sorceress_cast_lightning			18	20					Lightning								1						1	8	9	1	1										ln34 / 5	# hits							20	radius of jump to next target			26	bolts (5ths)	1	bolts per level (5ths)	5	5ths					4	damage synergy	1								8															ltng	1	0	0	0	0	0	40	11	13	15	15	15	(skill('Charged Bolt'.blvl)+skill('Lightning'.blvl)+skill('Nova'.blvl))*par8								640	16000
Teleport	54	sor	teleport		27																																																																								sorceress_teleport											teleport																			1		1	0		none												SC	SC	xx																	1		1	2			sorceress_teleport	teleport		18	20					Telekinesis														1	8	24	-1	1																																		1								8																																				640	16000
Glacial Spike	55	sor	glacial spike											glacialspike										ln34 * (100 + skill('Blizzard'.blvl) * par7) / 100	ln12																																																				sorceress_cast_cold											ice_cast_2								glacialspike													1	7		none												SC	SC	SC																	1						sorceress_cast_cold			18	20					Ice Blast								1						1	7	20	1	1																		4	radius	0	radius per level	50	freeze frames	3	freeze frames per level					3	freeze synergy	5	damage synergy	1								7															cold	32	14	26	28	30	32	48	15	27	29	31	33	(skill('Ice Bolt'.blvl)+skill('Ice Blast'.blvl)+skill('Frozen Orb'.blvl))*par8								640	16000
