state	id	group	remhit	nosend	transform	aura	curable	curse	active	immed	restrict	disguise	blue	attblue	damblue	armblue	rfblue	rlblue	rcblue	stambarblue	rpblue	attred	damred	armred	rfred	rlred	rcred	rpred	exp	plrstaydeath	monstaydeath	bossstaydeath	hide	shatter	udead	life	green	pgsv	nooverlays	noclear	bossinv	meleeonly	notondead	overlay1	overlay2	overlay3	overlay4	pgsvoverlay	castoverlay	removerlay	stat	setfunc	remfunc	missile	skill	itemtype	itemtrans	colorpri	colorshift	light-r	light-g	light-b	onsound	offsound	gfxtype	gfxclass	cltevent	clteventfunc	cltactivefunc	srvactivefunc	eol
progressive_other	124																																					1										progressive_other_1			progressive_other	1	1																		0
progressive_fire	125																																					1										progressive_fire_1			progressive_fire	1	1																		0
progressive_cold	126																																					1										progressive_cold_1			progressive_cold	1	1																		0
progressive_lightning	127																																					1										progressive_lightning_1			progressive_lightning	1	1																		0
shrine_armor	128							1								1																												shrine_armor	shrine_shimmer00						armorclass																				0
shrine_combat	129							1						1	1																													shrine_combat	shrine_shimmer00						tohit																				0
shrine_resist_lightning	130							1										1																										shrine_resist_lightning	shrine_shimmer01						lightresist																				0
shrine_resist_fire	131							1									1																											shrine_resist_fire	shrine_shimmer00						fireresist																				0
shrine_resist_cold	132							1											1																									shrine_resist_cold	shrine_shimmer01						coldresist																				0
shrine_resist_poison	133							1													1																							shrine_resist_poison	shrine_shimmer01						poisonresist																				0
shrine_skill	134							1																																				shrine_skill	shrine_shimmer00							9	6																		0
shrine_mana_regen	135							1																																				shrine_mana_regen	shrine_shimmer01																										0
shrine_stamina	136							1												1																								shrine_stamina	shrine_shimmer01						stamina																				0
shrine_experience	137							1																																				shrine_experience	shrine_shimmer00																										0
fenris_rage	138																																											direwolfcharged	direwolfcharged																										0
wolf	139	3			1						1	1		1																												1										14											druid_morph	druid_morph	1	430					0
bear	140	3			1						1	1			1	1																										1										14											druid_morph	druid_morph	1	431					0
bloodlust	141							1																																				bloodlust_state	bloodlust_state																										0
changeclass	142																																																			5																			0
attached	143								1																						1	1			1																	13	9																88	147	0
hurricane	144								1																																											7	4																90	145	0
armageddon	145																																																																					146	0
invis	146																																																			12	8																		0
barbs	147					1																																							spirit_of_barbs																										0
wolverine	148					1								1	1																														heart_of_wolverine						item_tohit_percent																				0
oaksage	149					1																																							oak_sage																										0
vine_beast	150								1																																											11																	89		0
cyclonearmor	151																																						1	1				cyclonearmor1front	cyclonearmor2front	cyclonearmor3front						8	5																		0
clawmastery	152																																																																						0
cloak_of_shadows	153		1													1																																				2											assassin_cloakofdarkness								0
recycled	154																														1	1	1		1																																				0
weaponblock	155																																																																						0
cloaked	156							1																1																				cloaked							skill_armor_percent																				0
quickness	157	2				1																																						quickness							attackrate																				0
bladeshield	158																																											bladeshield																											0
fade	159	2															1	1	1		1																							fade							poisonresist																				0
summonresist	160			1																																																																			0
oaksagecontrol	161					1																																																																	0
wolverinecontrol	162					1																																																																	0
barbscontrol	163					1																																																																	0
debugcontrol	164																																																																						0
itemset1	165																																																																						0
itemset2	166																																																																						0
itemset3	167																																																																						0
itemset4	168																																																																						0
itemset5	169																																																																						0
itemset6	170			1																																																																			0
runeword	171			1																																																																			0
restinpeace	172																														1	1			1								1									17		redemption									paladin_redeemed_soul								0
corpseexp	173																														1	1	1		1								1									18		corpseexplosion									necromancer_corpseexp_1								0
whirlwind	174																																											whirlwind																											0
fullsetgeneric	175																																											aura_fanatic																											0
monsterset	176	3			1							1																																					fire_cast_2																1	135					0
delerium	177	3			1						1	1																																					teleport	teleport															1	212					0
antidote	178																				1																																																		0
thawing	179																		1																																																				0
staminapot	180																			1																																																			0
passive_resistfire	181																																																																						0
passive_resistcold	182																																																																						0
passive_resistltng	183																																																																						0
uberminion	184																														1		1	1	1																												impact_bluemotize_1								0
