Name	Def	LevelId	Populate	Logicals	Outdoors	Animate	KillEdge	FillBlanks	SizeX	SizeY	AutoMap	Scan	Pops	PopPad	Files	File1	File2	File3	File4	File5	File6	Dt1Mask	Beta
Act 1 - Cave E	54	0	1	0	0	0	1	1	24	24	0	0	0	0	2	Act1/Caves/CaveE.ds1	Act1/Caves/CaveE2.ds1	0	0	0	0	1	1
Act 1 - Cave EW	55	0	1	0	0	0	1	1	24	24	0	0	0	0	2	Act1/Caves/CaveEW.ds1	Act1/Caves/CaveEW2.ds1	0	0	0	0	1	1
Act 1 - Cave S	56	0	1	0	0	0	1	1	24	24	0	0	0	0	2	Act1/Caves/CaveS.ds1	Act1/Caves/CaveS2.ds1	0	0	0	0	1	1
Act 1 - Cave SW	57	0	1	0	0	0	1	1	24	24	0	0	0	0	2	Act1/Caves/CaveSW.ds1	Act1/Caves/CaveSW2.ds1	0	0	0	0	1	1
Act 1 - Cave SE	58	0	1	0	0	0	1	1	24	24	0	0	0	0	2	Act1/Caves/CaveSE.ds1	Act1/Caves/CaveSE2.ds1	0	0	0	0	1	1
Act 1 - Cave SEW	59	0	1	0	0	0	1	1	24	24	0	0	0	0	2	Act1/Caves/CaveSEW.ds1	Act1/Caves/CaveSEW2.ds1	0	0	0	0	1	1
Act 1 - Cave N	60	0	1	0	0	0	1	1	24	24	0	0	0	0	2	Act1/Caves/CaveN.ds1	Act1/Caves/CaveN2.ds1	0	0	0	0	1	1
Act 1 - Cave NW	61	0	1	0	0	0	1	1	24	24	0	0	0	0	2	Act1/Caves/CaveNW.ds1	Act1/Caves/CaveNW2.ds1	0	0	0	0	1	1
Act 1 - Cave NE	62	0	1	0	0	0	1	1	24	24	0	0	0	0	2	Act1/Caves/CaveNE.ds1	Act1/Caves/CaveNE2.ds1	0	0	0	0	1	1
Act 1 - Cave NEW	63	0	1	0	0	0	1	1	24	24	0	0	0	0	2	Act1/Caves/CaveNEW.ds1	Act1/Caves/CaveNEW2.ds1	0	0	0	0	1	1
Act 1 - Cave NS	64	0	1	0	0	0	1	1	24	24	0	0	0	0	2	Act1/Caves/CaveNS.ds1	Act1/Caves/CaveNS2.ds1	0	0	0	0	1	1
Act 1 - Cave NSW	65	0	1	0	0	0	1	1	24	24	0	0	0	0	2	Act1/Caves/CaveNSW.ds1	Act1/Caves/CaveNSW2.ds1	0	0	0	0	1	1
Act 1 - Cave NSE	66	0	1	0	0	0	1	1	24	24	0	0	0	0	2	Act1/Caves/CaveNSE.ds1	Act1/Caves/CaveNSE2.ds1	0	0	0	0	1	1
Act 1 - Cave NSEW	67	0	1	0	0	0	1	1	24	24	0	0	0	0	2	Act1/Caves/CaveNSEW.ds1	Act1/Caves/CaveNSEW2.ds1	0	0	0	0	1	1
Act 1 - Cave Theme W	68	0	1	0	0	0	1	1	24	24	0	0	0	0	1	Act1/Caves/CaveWTheme1.ds1	0	0	0	0	0	1	1
Act 1 - Cave Theme E	69	0	1	0	0	0	1	1	24	24	0	0	0	0	1	Act1/Caves/CaveETheme1.ds1	0	0	0	0	0	1	1
Act 1 - Cave Theme EW	70	0	1	0	0	0	1	1	24	24	0	0	0	0	1	Act1/Caves/CaveEWTheme1.ds1	0	0	0	0	0	1	1
Act 1 - Cave Theme S	71	0	1	0	0	0	1	1	24	24	0	0	0	0	1	Act1/Caves/CaveSTheme1.ds1	0	0	0	0	0	1	1
Act 1 - Cave Theme SW	72	0	1	0	0	0	1	1	24	24	0	0	0	0	1	Act1/Caves/CaveSWTheme1.ds1	0	0	0	0	0	1	1
Act 1 - Cave Theme SE	73	0	1	0	0	0	1	1	24	24	0	0	0	0	1	Act1/Caves/CaveSETheme1.ds1	0	0	0	0	0	1	1
Act 1 - Cave Theme SEW	74	0	1	0	0	0	1	1	24	24	0	0	0	0	1	Act1/Caves/CaveSEWTheme1.ds1	0	0	0	0	0	1	1
Act 1 - Cave Theme N	75	0	1	0	0	0	1	1	24	24	0	0	0	0	1	Act1/Caves/CaveNTheme1.ds1	0	0	0	0	0	1	1
Act 1 - Cave Theme NW	76	0	1	0	0	0	1	1	24	24	0	0	0	0	1	Act1/Caves/CaveNWTheme1.ds1	0	0	0	0	0	1	1
Act 1 - Cave Theme NE	77	0	1	0	0	0	1	1	24	24	0	0	0	0	1	Act1/Caves/CaveNETheme1.ds1	0	0	0	0	0	1	1
Act 1 - Cave Theme NEW	78	0	1	0	0	0	1	1	24	24	0	0	0	0	1	Act1/Caves/CaveNEWTheme1.ds1	0	0	0	0	0	1	1
Act 1 - Cave Theme NS	79	0	1	0	0	0	1	1	24	24	0	0	0	0	1	Act1/Caves/CaveNSTheme1.ds1	0	0	0	0	0	1	1
Act 1 - Cave Theme NSW	80	0	1	0	0	0	1	1	24	24	0	0	0	0	1	Act1/Caves/CaveNSWTheme1.ds1	0	0	0	0	0	1	1
Act 1 - Cave Theme NSE	81	0	1	0	0	0	1	1	24	24	0	0	0	0	1	Act1/Caves/CaveNSETheme1.ds1	0	0	0	0	0	1	1
Act 1 - Cave Theme NSEW	82	0	1	0	0	0	1	1	24	24	0	0	0	0	1	Act1/Caves/CaveNSEWTheme1.ds1	0	0	0	0	0	1	1
Act 1 - Cave Prev W	83	0	1	0	0	0	1	1	24	24	0	1	0	0	2	Act1/Caves/CaveWPre1.ds1	Act1/Caves/CaveWPre2.ds1	0	0	0	0	1	1
Act 1 - Cave Prev E	84	0	1	0	0	0	1	1	24	24	0	1	0	0	2	Act1/Caves/CaveEPre1.ds1	Act1/Caves/CaveEPre2.ds1	0	0	0	0	1	1
Act 1 - Cave Prev S	85	0	1	0	0	0	1	1	24	24	0	1	0	0	2	Act1/Caves/CaveSPre1.ds1	Act1/Caves/CaveSPre2.ds1	0	0	0	0	1	1
Act 1 - Cave Prev N	86	0	1	0	0	0	1	1	24	24	0	1	0	0	2	Act1/Caves/CaveNPre1.ds1	Act1/Caves/CaveNPre2.ds1	0	0	0	0	1	1
Act 1 - Cave Next W	87	0	1	0	0	0	1	1	24	24	0	1	0	0	2	Act1/Caves/CaveWNext1.ds1	Act1/Caves/CaveWNext2.ds1	0	0	0	0	1	1
Act 1 - Cave Next E	88	0	1	0	0	0	1	1	24	24	0	1	0	0	2	Act1/Caves/CaveENext1.ds1	Act1/Caves/CaveENext2.ds1	0	0	0	0	1	1
Act 1 - Cave Next S	89	0	1	0	0	0	1	1	24	24	0	1	0	0	2	Act1/Caves/CaveSNext1.ds1	Act1/Caves/CaveSNext2.ds1	0	0	0	0	1	1
Act 1 - Cave Next N	90	0	1	0	0	0	1	1	24	24	0	1	0	0	2	Act1/Caves/CaveNNext1.ds1	Act1/Caves/CaveNNext2.ds1	0	0	0	0	1	1
Act 1 - Cave Down W	91	0	1	0	0	0	1	1	24	24	0	1	0	0	2	Act1/Caves/CaveWDown1.ds1	Act1/Caves/CaveWDown2.ds1	0	0	0	0	1	1
Act 1 - Cave Down E	92	0	1	0	0	0	1	1	24	24	0	1	0	0	2	Act1/Caves/CaveEDown1.ds1	Act1/Caves/CaveEDown2.ds1	0	0	0	0	1	1
Act 1 - Cave Down S	93	0	1	0	0	0	1	1	24	24	0	1	0	0	2	Act1/Caves/CaveSDown1.ds1	Act1/Caves/CaveSDown2.ds1	0	0	0	0	1	1
Act 1 - Cave Down N	94	0	1	0	0	0	1	1	24	24	0	1	0	0	2	Act1/Caves/CaveNDown1.ds1	Act1/Caves/CaveNDown2.ds1	0	0	0	0	1	1
Act 1 - Cave Den Of Evil W	95	0	1	0	0	0	1	1	24	24	0	0	0	0	1	Act1/Caves/CaveWSpec.ds1	0	0	0	0	0	1	1
Act 1 - Cave Den Of Evil E	96	0	1	0	0	0	1	1	24	24	0	0	0	0	1	Act1/Caves/CaveESpec.ds1	0	0	0	0	0	1	1
Act 1 - Cave Den Of Evil S	97	0	1	0	0	0	1	1	24	24	0	0	0	0	1	Act1/Caves/CaveSSpec.ds1	0	0	0	0	0	1	1
Act 1 - Cave Den Of Evil N	98	0	1	0	0	0	1	1	24	24	0	0	0	0	1	Act1/Caves/CaveNSpec.ds1	0	0	0	0	0	1	1
Act 1 - Cave Coldcrow W	99	0	1	0	0	0	1	1	24	24	0	0	0	0	1	Act1/Caves/CaveWCrow.ds1	0	0	0	0	0	1	1
Act 1 - Cave Coldcrow E	100	0	1	0	0	0	1	1	24	24	0	0	0	0	1	Act1/Caves/CaveECrow.ds1	0	0	0	0	0	1	1
Act 1 - Cave Coldcrow S	101	0	1	0	0	0	1	1	24	24	0	0	0	0	1	Act1/Caves/CaveSCrow.ds1	0	0	0	0	0	1	1
Act 1 - Cave Coldcrow N	102	0	1	0	0	0	1	1	24	24	0	0	0	0	1	Act1/Caves/CaveNCrow.ds1	0	0	0	0	0	1	1
Act 1 - Cave Treasure 1	103	0	1	0	0	0	1	1	0	0	0	1	0	0	1	Act1/Caves/CaveRoom1.ds1	0	0	0	0	0	1	1
Act 1 - Cave Treasure 2	104	13	1	0	0	0	1	1	0	0	0	1	0	0	1	Act1/Caves/CaveRoom2.ds1	0	0	0	0	0	1	1
Act 1 - Cave Treasure 3	105	14	1	0	0	0	1	1	0	0	0	1	0	0	1	Act1/Caves/CaveRoom3.ds1	0	0	0	0	0	1	1
Act 1 - Cave Treasure 4	106	15	1	0	0	0	1	1	0	0	0	1	0	0	1	Act1/Caves/CaveRoom4.ds1	0	0	0	0	0	1	1
Act 1 - Cave Treasure 5	107	16	1	0	0	0	1	1	0	0	0	1	0	0	1	Act1/Caves/CaveRoom5.ds1	0	0	0	0	0	1	1
Act 1 - Graveyard	108	0	1	0	1	0	1	1	24	32	0	1	0	0	1	Act1/Graveyard/gravey.ds1	0	0	0	0	0	2319	1
Act 1 - Crypt W	109	0	1	1	0	0	0	1	8	8	0	0	0	0	2	Act1/Crypt/CryptW.ds1	Act1/Crypt/CryptW2.ds1	0	0	0	0	3	1
Act 1 - Crypt E	110	0	1	1	0	0	0	1	8	8	0	0	0	0	2	Act1/Crypt/CryptE.ds1	Act1/Crypt/CryptE2.ds1	0	0	0	0	3	1
Act 1 - Crypt EW	111	0	1	1	0	0	0	1	8	8	0	0	0	0	2	Act1/Crypt/CryptEW.ds1	Act1/Crypt/CryptEW2.ds1	0	0	0	0	3	1
Act 1 - Crypt S	112	0	1	1	0	0	0	1	8	8	0	0	0	0	2	Act1/Crypt/CryptS.ds1	Act1/Crypt/CryptS2.ds1	0	0	0	0	3	1
Act 1 - Crypt SW	113	0	1	1	0	0	0	1	8	8	0	0	0	0	2	Act1/Crypt/CryptSW.ds1	Act1/Crypt/CryptSW2.ds1	0	0	0	0	3	1
Act 1 - Crypt SE	114	0	1	1	0	0	0	1	8	8	0	0	0	0	2	Act1/Crypt/CryptSE.ds1	Act1/Crypt/CryptSE2.ds1	0	0	0	0	3	1
Act 1 - Crypt SEW	115	0	1	1	0	0	0	1	8	8	0	0	0	0	2	Act1/Crypt/CryptSEW.ds1	Act1/Crypt/CryptSEW2.ds1	0	0	0	0	3	1
Act 1 - Crypt N	116	0	1	1	0	0	0	1	8	8	0	0	0	0	2	Act1/Crypt/CryptN.ds1	Act1/Crypt/CryptN2.ds1	0	0	0	0	3	1
Act 1 - Crypt NW	117	0	1	1	0	0	0	1	8	8	0	0	0	0	2	Act1/Crypt/CryptNW.ds1	Act1/Crypt/CryptNW2.ds1	0	0	0	0	3	1
Act 1 - Crypt NE	118	0	1	1	0	0	0	1	8	8	0	0	0	0	2	Act1/Crypt/CryptNE.ds1	Act1/Crypt/CryptNE2.ds1	0	0	0	0	3	1
Act 1 - Crypt NEW	119	0	1	1	0	0	0	1	8	8	0	0	0	0	2	Act1/Crypt/CryptNEW.ds1	Act1/Crypt/CryptNEW2.ds1	0	0	0	0	3	1
Act 1 - Crypt NS	120	0	1	1	0	0	0	1	8	8	0	0	0	0	2	Act1/Crypt/CryptNS.ds1	Act1/Crypt/CryptNS2.ds1	0	0	0	0	3	1
Act 1 - Crypt NSW	121	0	1	1	0	0	0	1	8	8	0	0	0	0	2	Act1/Crypt/CryptNSW.ds1	Act1/Crypt/CryptNSW2.ds1	0	0	0	0	3	1
Act 1 - Crypt NSE	122	0	1	1	0	0	0	1	8	8	0	0	0	0	2	Act1/Crypt/CryptNSE.ds1	Act1/Crypt/CryptNSE2.ds1	0	0	0	0	3	1
Act 1 - Crypt NSEW	123	0	1	1	0	0	0	1	8	8	0	0	0	0	2	Act1/Crypt/CryptNSEW.ds1	Act1/Crypt/CryptNSEW2.ds1	0	0	0	0	3	1
Act 1 - Crypt Theme W	124	0	1	1	0	0	0	1	8	8	0	0	0	0	1	Act1/Crypt/CryptWTheme.ds1	0	0	0	0	0	3	1
Act 1 - Crypt Theme E	125	0	1	1	0	0	0	1	8	8	0	0	0	0	1	Act1/Crypt/CryptETheme.ds1	0	0	0	0	0	3	1
Act 1 - Crypt Theme EW	126	0	1	1	0	0	0	1	8	8	0	0	0	0	1	Act1/Crypt/CryptEWTheme.ds1	0	0	0	0	0	3	1
Act 1 - Crypt Theme S	127	0	1	1	0	0	0	1	8	8	0	0	0	0	1	Act1/Crypt/CryptSTheme.ds1	0	0	0	0	0	3	1
Act 1 - Crypt Theme SW	128	0	1	1	0	0	0	1	8	8	0	0	0	0	1	Act1/Crypt/CryptSWTheme.ds1	0	0	0	0	0	3	1
Act 1 - Crypt Theme SE	129	0	1	1	0	0	0	1	8	8	0	0	0	0	1	Act1/Crypt/CryptSETheme.ds1	0	0	0	0	0	3	1
Act 1 - Crypt Theme SEW	130	0	1	1	0	0	0	1	8	8	0	0	0	0	1	Act1/Crypt/CryptSEWTheme.ds1	0	0	0	0	0	3	1
Act 1 - Crypt Theme N	131	0	1	1	0	0	0	1	8	8	0	0	0	0	1	Act1/Crypt/CryptNTheme.ds1	0	0	0	0	0	3	1
Act 1 - Crypt Theme NW	132	0	1	1	0	0	0	1	8	8	0	0	0	0	1	Act1/Crypt/CryptNWTheme.ds1	0	0	0	0	0	3	1
Act 1 - Crypt Theme NE	133	0	1	1	0	0	0	1	8	8	0	0	0	0	1	Act1/Crypt/CryptNETheme.ds1	0	0	0	0	0	3	1
Act 1 - Crypt Theme NEW	134	0	1	1	0	0	0	1	8	8	0	0	0	0	1	Act1/Crypt/CryptNEWTheme.ds1	0	0	0	0	0	3	1
Act 1 - Crypt Theme NS	135	0	1	1	0	0	0	1	8	8	0	0	0	0	1	Act1/Crypt/CryptNSTheme.ds1	0	0	0	0	0	3	1
Act 1 - Crypt Theme NSW	136	0	1	1	0	0	0	1	8	8	0	0	0	0	1	Act1/Crypt/CryptNSWTheme.ds1	0	0	0	0	0	3	1
Act 1 - Crypt Theme NSE	137	0	1	1	0	0	0	1	8	8	0	0	0	0	1	Act1/Crypt/CryptNSETheme.ds1	0	0	0	0	0	3	1
Act 1 - Crypt Theme NSEW	138	0	1	1	0	0	0	1	8	8	0	0	0	0	1	Act1/Crypt/CryptNSEWTheme.ds1	0	0	0	0	0	3	1
Act 1 - Crypt Prev W	139	0	1	1	0	0	0	1	8	8	0	1	0	0	1	Act1/Crypt/CryptWWarpPrev.ds1	0	0	0	0	0	3	1
Act 1 - Crypt Prev E	140	0	1	1	0	0	0	1	8	8	0	1	0	0	1	Act1/Crypt/CryptEWarpPrev.ds1	0	0	0	0	0	3	1
Act 1 - Crypt Prev S	141	0	1	1	0	0	0	1	8	8	0	1	0	0	1	Act1/Crypt/CryptSWarpPrev.ds1	0	0	0	0	0	3	1
Act 1 - Crypt Prev N	142	0	1	1	0	0	0	1	8	8	0	1	0	0	1	Act1/Crypt/CryptNWarpPrev.ds1	0	0	0	0	0	3	1
Act 1 - Crypt Next W	143	0	1	1	0	0	0	1	8	8	0	1	0	0	1	Act1/Crypt/CryptWWarpNext.ds1	0	0	0	0	0	3	1
Act 1 - Crypt Next E	144	0	1	1	0	0	0	1	8	8	0	1	0	0	1	Act1/Crypt/CryptEWarpNext.ds1	0	0	0	0	0	3	1
Act 1 - Crypt Next S	145	0	1	1	0	0	0	1	8	8	0	1	0	0	1	Act1/Crypt/CryptSWarpNext.ds1	0	0	0	0	0	3	1
Act 1 - Crypt Next N	146	0	1	1	0	0	0	1	8	8	0	1	0	0	1	Act1/Crypt/CryptNWarpNext.ds1	0	0	0	0	0	3	1
Act 1 - Crypt Bonebreak W	147	0	1	1	0	0	0	1	8	8	0	0	0	0	1	Act1/Crypt/CryptWBonebreak.ds1	0	0	0	0	0	3	1
Act 1 - Crypt Bonebreak E	148	0	1	1	0	0	0	1	8	8	0	0	0	0	1	Act1/Crypt/CryptEBonebreak.ds1	0	0	0	0	0	3	1
Act 1 - Crypt Bonebreak S	149	0	1	1	0	0	0	1	8	8	0	0	0	0	1	Act1/Crypt/CryptSBonebreak.ds1	0	0	0	0	0	3	1
Act 1 - Crypt Bonebreak N	150	0	1	1	0	0	0	1	8	8	0	0	0	0	1	Act1/Crypt/CryptNBonebreak.ds1	0	0	0	0	0	3	1
Act 1 - Crypt Chest W	151	0	1	1	0	0	0	1	8	8	0	0	0	0	1	Act1/Crypt/CryptWConsol.ds1	0	0	0	0	0	3	1
