Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
83	498	928	1374	498	1092	1616	892	1584	3332	892	1584	3332	717	2129	4464	717	2129	5952	51	68	94	51	68	94	5749	32318	48477	5749	32318	48477
84	504	938	1389	504	1104	1634	903	1602	3370	903	1602	3370	732	2163	4550	732	2163	6067	51	68	94	51	68	94	5853	33224	49836	5853	33224	49836
85	510	949	1403	510	1116	1651	914	1620	3408	914	1620	3408	746	2197	4637	746	2197	6182	52	69	96	52	69	96	5957	34130	51195	5957	34130	51195
86	516	959	1419	516	1128	1669	925	1638	3446	925	1638	3446	761	2232	4723	761	2232	6297	53	70	98	53	70	98	6061	35036	52554	6061	35036	52554
87	522	969	1433	522	1140	1686	936	1656	3484	936	1656	3484	775	2265	4809	775	2265	6412	53	70	98	53	70	98	6165	35942	53913	6165	35942	53913
88	528	979	1448	528	1152	1704	947	1674	3522	947	1674	3522	790	2300	4895	790	2300	6527	54	72	100	54	72	100	6269	36848	55272	6269	36848	55272
89	534	989	1464	534	1164	1722	958	1692	3560	958	1692	3560	805	2333	4982	805	2333	6642	55	73	102	55	73	102	6373	37754	56631	6373	37754	56631
90	540	1000	1478	540	1176	1739	969	1710	3598	969	1710	3598	821	2368	5068	821	2368	6757	55	73	102	55	73	102	6477	38660	57990	6477	38660	57990
91	546	1010	1493	546	1188	1757	980	1728	3636	980	1728	3636	837	2403	5154	837	2403	6872	56	74	104	56	74	104	6581	39566	59349	6581	39566	59349
92	552	1020	1508	552	1200	1774	991	1746	3674	991	1746	3674	853	2436	5240	853	2436	6987	56	74	104	56	74	104	6685	40472	60708	6685	40472	60708
93	558	1030	1523	558	1212	1792	1002	1764	3712	1002	1764	3712	868	2471	5327	868	2471	7102	57	76	105	57	76	105	6789	41378	62067	6789	41378	62067
94	564	1040	1539	564	1224	1810	1013	1782	3750	1013	1782	3750	884	2504	5413	884	2504	7217	58	77	107	58	77	107	6893	42284	63426	6893	42284	63426
95	570	1051	1553	570	1236	1827	1024	1800	3788	1024	1800	3788	900	2539	5499	900	2539	7332	58	77	107	58	77	107	6997	43190	64785	6997	43190	64785
96	576	1061	1568	576	1248	1845	1035	1818	3826	1035	1818	3826	916	2573	5585	916	2573	7447	59	78	109	59	78	109	7101	44096	66144	7101	44096	66144
97	582	1071	1583	582	1260	1862	1046	1836	3864	1046	1836	3864	932	2607	5672	932	2607	7562	59	78	109	59	78	109	7205	45002	67503	7205	45002	67503
98	588	1081	1598	588	1272	1880	1057	1854	3902	1057	1854	3902	948	2641	5758	948	2641	7677	60	80	111	60	80	111	7309	45908	68862	7309	45908	68862
99	594	1091	1613	594	1284	1898	1068	1872	3940	1068	1872	3940	964	2675	5844	964	2675	7792	60	80	111	60	80	111	7413	46814	70221	7413	46814	70221
100	600	1102	1628	600	1296	1915	1079	1890	3978	1079	1890	3978	982	2709	5930	982	2709	7907	61	81	113	61	81	113	7517	47720	71580	7517	47720	71580
101	606	1112	1643	606	1308	1933	1090	1908	4016	1090	1908	4016	999	2744	6017	999	2744	8022	62	82	115	62	82	115	7621	48626	72939	7621	48626	72939
102	612	1122	1658	612	1320	1950	1101	1926	4054	1101	1926	4054	1016	2777	6103	1016	2777	8137	62	82	115	62	82	115	7725	49532	74298	7725	49532	74298
103	618	1132	1673	618	1332	1968	1112	1944	4092	1112	1944	4092	1033	2812	6189	1033	2812	8252	63	84	117	63	84	117	7829	50438	75657	7829	50438	75657
104	624	1142	1688	624	1344	1986	1123	1962	4130	1123	1962	4130	1051	2845	6275	1051	2845	8367	63	84	117	63	84	117	7933	51344	77016	7933	51344	77016
105	630	1153	1703	630	1356	2003	1134	1980	4168	1134	1980	4168	1068	2880	6362	1068	2880	8482	64	85	118	64	85	118	8037	52250	78375	8037	52250	78375
106	636	1163	1718	636	1368	2021	1145	1998	4206	1145	1998	4206	1085	2915	6448	1085	2915	8597	65	86	120	65	86	120	8141	53156	79734	8141	53156	79734
107	642	1173	1732	642	1380	2038	1156	2016	4244	1156	2016	4244	1103	2948	6534	1103	2948	8712	65	86	120	65	86	120	8245	54062	81093	8245	54062	81093
108	648	1183	1748	648	1392	2056	1167	2034	4282	1167	2034	4282	1120	2983	6620	1120	2983	8827	66	88	122	66	88	122	8349	54968	82452	8349	54968	82452
109	654	1193	1763	654	1404	2074	1178	2052	4320	1178	2052	4320	1137	3016	6707	1137	3016	8942	67	89	124	67	89	124	8453	55874	83811	8453	55874	83811
110	2100	2100	2100	2100	2100	2100	6532	6532	6532	6532	6532	6532	10000	10000	10000	10000	10000	10000	130	130	130	130	130	130	160000	160000	160000	160000	160000	160000
