Name	Id	Pal	Act	Layer	SizeX	SizeY	OffsetX	OffsetY	Depend	Rain	Mud	NoPer	LOSDraw	FloorFilter	BlankScreen	DrawEdges	IsInside	DrlgType	LevelType	SubType	SubTheme	SubWaypoint	SubShrine	Vis0	Vis1	Vis2	Vis3	Vis4	Vis5	Vis6	Vis7	Warp0	Warp1	Warp2	Warp3	Warp4	Warp5	Warp6	Warp7	Intensity	Red	Green	Blue	Portal	Position	SaveMonsters	Quest	WarpDist	MonLvl1	MonLvl2	MonLvl3	MonDen	MonUMin	MonUMax	MonWndr	MonSpcWalk	Mtot	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	Utot	U1	U2	U3	U4	U5	U6	U7	U8	U9	U10	U11	U12	U13	U14	U15	U16	U17	U18	U19	U20	U21	U22	U23	U24	U25	C1	C2	C3	C4	C5	CA1	CA2	CA3	CA4	CA5	CD1	CD2	CD3	CD4	CD5	Themes	SoundEnv	Waypoint	LevelName	LevelWarp	EntryFile	ObjGrp0	ObjGrp1	ObjGrp2	ObjGrp3	ObjGrp4	ObjGrp5	ObjGrp6	ObjGrp7	ObjPrb0	ObjPrb1	ObjPrb2	ObjPrb3	ObjPrb4	ObjPrb5	ObjPrb6	ObjPrb7	Beta
Act 1 - Cave 3	10	0	0	3	200	200	1500	1600	0	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	4	5	0	0	14	0	0	0	4	4	-1	-1	5	-1	-1	-1	0	255	255	255	0	0	1	0	2025	4	37	70	600	1	2	1	0	4	12	20	44	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	12	20	44	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	159	0	0	0	30	30	0	0	0	0	0	0	0	0	0	4	255	Underground Passage Level 1	To Underground Passage Level 1	A1L10	6	4	0	0	0	0	0	0	30	3	0	0	0	0	0	0	1
Act 1 - Cave 4	11	0	0	4	200	200	1500	1900	0	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	6	0	0	0	15	0	0	0	4	-1	-1	-1	5	-1	-1	-1	0	255	255	255	0	0	1	0	2025	5	38	71	600	1	2	1	0	4	12	20	24	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	12	20	24	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	159	0	0	0	30	30	0	0	0	0	0	0	0	0	0	4	255	Hole Level 1	To The Hole Level 1	A1L11	6	4	0	0	0	0	0	0	30	3	0	0	0	0	0	0	1
Act 1 - Cave 5	12	0	0	5	200	200	1500	2200	0	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	7	0	0	0	16	0	0	0	4	-1	-1	-1	5	-1	-1	-1	0	255	255	255	0	0	1	0	2025	7	40	73	600	1	2	1	0	4	2	21	45	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	21	45	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	159	0	0	0	30	30	0	0	0	0	0	0	0	0	0	4	255	Pit Level 1	To The Pit Level 1	A1L12	6	4	0	0	0	0	0	0	30	6	0	0	0	0	0	0	1
Act 1 - Cave 2 Treasure	13	0	0	6	24	24	1500	2500	0	0	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	9	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	2	35	68	600	1	2	1	0	3	0	6	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	6	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	159	0	0	0	30	30	0	0	0	0	0	0	0	0	0	4	255	Cave Level 2	To The Cave Level 2	A1L14	6	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Cave 3 Treasure	14	0	0	7	24	24	1500	2624	0	0	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	10	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	4	37	70	600	1	2	1	0	4	12	20	44	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	12	20	44	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	159	0	0	0	30	30	0	0	0	0	0	0	0	0	0	4	255	Underground Passage Level 2	To Underground Passage Level 2	A1L15	6	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Cave 4 Treasure	15	0	0	8	24	24	1500	2748	0	0	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	11	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	3800	5	38	71	600	1	2	1	0	4	12	20	24	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	12	20	24	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	159	0	0	0	30	30	0	0	0	0	0	0	0	0	0	4	255	Hole Level 2	To The Hole Level 2	A1L16	6	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Cave 5 Treasure	16	0	0	9	24	24	1500	2872	0	0	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	12	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	7	40	73	600	1	2	1	0	4	2	21	45	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	21	45	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	159	0	0	0	30	30	0	0	0	0	0	0	0	0	0	4	255	Pit Level 2	To The Pit Level 2	A1L17	6	4	0	0	0	0	0	0	25	6	0	0	0	0	0	0	1
Act 1 - Graveyard	17	0	0	0	40	48	-1	-1	0	1	0	0	0	1	1	1	0	3	2	-1	-1	-1	-1	18	19	0	0	0	0	0	0	6	7	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	0	2025	3	36	69	520	0	0	1	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	255	Burial Grounds	To The Burial Grounds	A1L18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Act 1 - Crypt 1 A	18	0	0	10	200	200	2000	1000	0	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	17	0	0	0	0	0	0	0	8	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	3	36	69	1056	1	1	1	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	159	0	0	0	30	30	0	0	0	0	0	0	0	0	8	5	255	Crypt	To The Crypt	A1L19	7	8	9	10	0	0	0	0	75	4	50	75	0	0	0	0	1
Act 1 - Crypt 2 A	19	0	0	11	200	200	2000	1300	0	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	17	0	0	0	0	0	0	0	8	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	3	36	69	1056	1	1	1	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	159	0	0	0	30	30	0	0	0	0	0	0	0	0	8	5	255	Mausoleum	To The Mausoleum	A1L20	7	8	9	10	0	0	0	0	75	4	50	75	0	0	0	0	1
Act 1 - Tower 2	20	0	0	12	8	8	2000	1600	0	0	0	0	1	1	1	0	1	2	2	-1	-1	-1	-1	6	21	0	0	0	0	0	0	11	12	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	100	7	40	73	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	159	0	0	0	30	30	0	0	0	0	0	0	0	0	0	5	255	Forgotten Tower	To The Forgotten Tower	A1L21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Act 1 - Crypt 3 A	21	0	0	13	200	200	2500	1000	0	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	20	22	0	0	0	0	0	0	8	9	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	100	7	40	73	640	1	1	1	0	4	21	38	55	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	21	38	55	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	159	0	0	0	30	30	0	0	0	0	0	0	0	0	8	5	255	Tower Cellar Level 1	To The Tower Cellar Level 1	A1L22	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Crypt 3 B	22	0	0	14	200	200	2500	1300	0	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	21	23	0	0	0	0	0	0	8	9	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	7	40	73	640	1	1	1	0	4	21	38	55	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	21	38	55	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	159	0	0	0	30	30	0	0	0	0	0	0	0	0	8	5	255	Tower Cellar Level 2	To The Tower Cellar Level 2	A1L23	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Crypt 3 C	23	0	0	15	200	200	2500	1600	0	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	22	24	0	0	0	0	0	0	8	9	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	100	7	40	73	640	1	1	1	0	4	21	38	55	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	21	38	55	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	159	0	0	0	30	30	0	0	0	0	0	0	0	0	8	5	255	Tower Cellar Level 3	To The Tower Cellar Level 3	A1L24	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Crypt 3 D	24	0	0	16	200	200	2500	1900	0	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	23	25	0	0	0	0	0	0	8	9	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	7	40	73	640	1	1	1	0	4	21	38	55	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	21	38	55	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	159	0	0	0	30	30	0	0	0	0	0	0	0	0	8	5	255	Tower Cellar Level 4	To The Tower Cellar Level 4	A1L25	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Crypt 3 E	25	0	0	17	30	30	2500	2200	0	0	0	0	1	1	1	0	1	2	4	-1	-1	-1	-1	24	0	0	0	0	0	0	0	8	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	100	7	40	73	640	1	1	1	0	4	21	38	55	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	21	38	55	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	159	0	0	0	30	30	0	0	0	0	0	0	0	0	8	5	255	Tower Cellar Level 5	To The Tower Cellar Level 5	A1L26	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Monastery	26	0	0	0	64	18	3000	1000	0	0	0	0	1	1	1	0	0	2	5	-1	-1	-1	-1	0	27	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	0	2025	8	41	74	600	0	1	1	0	4	13	45	171	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	13	45	171	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	6	255	Monastery Gate	To The Monastery Gate	A1L27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Act 1 - Courtyard 1	27	0	0	0	56	40	0	-40	26	0	0	0	1	1	1	0	0	2	6	-1	-1	-1	-1	26	28	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	1	0	1	0	2025	9	42	75	600	0	1	1	0	4	25	46	60	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	25	46	60	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	Outer Cloister	To The Outer Cloister	A1L28	14	15	0	0	0	0	0	0	7	33	0	0	0	0	0	0	1
Act 1 - Barracks	28	0	0	0	200	200	-1	-1	0	0	0	0	1	1	1	0	1	1	7	-1	-1	-1	-1	27	29	0	0	0	0	0	0	-1	14	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	9	42	75	680	1	2	1	0	5	46	57	60	172	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	46	57	60	172	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	159	0	0	0	30	30	0	0	0	0	0	0	0	0	8	8	255	Barracks	To The Barracks	A1L29	51	3	17	0	0	0	0	0	9	35	25	0	0	0	0	0	1
Act 1 - Jail 1	29	0	0	18	200	200	3500	1000	0	0	0	0	1	1	1	0	1	1	8	-1	-1	-1	-1	28	30	0	0	0	0	0	0	13	14	-1	-1	-1	-1	-1	-1	0	255	255	255	1	0	1	0	2025	10	43	76	680	1	2	1	1	5	22	39	57	172	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	22	39	57	172	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	159	0	0	0	30	30	0	0	0	0	0	0	0	0	8	8	6	Jail Level 1	To The Jail Level 1	A1L30	51	15	3	0	0	0	0	0	11	50	35	0	0	0	0	0	1
Act 1 - Jail 2	30	0	0	19	200	200	3500	1300	0	0	0	0	1	1	1	0	1	1	8	-1	-1	-1	-1	29	31	0	0	0	0	0	0	13	14	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	10	43	76	680	1	2	1	1	5	22	39	57	172	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	22	39	57	172	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	159	0	0	0	30	30	0	0	0	0	0	0	0	0	8	8	255	Jail Level 2	To The Jail Level 2	A1L31	51	15	3	0	0	0	0	0	13	50	45	0	0	0	0	0	1
Act 1 - Jail 3	31	0	0	20	200	200	3500	1600	0	0	0	0	1	1	1	0	1	1	8	-1	-1	-1	-1	30	32	0	0	0	0	0	0	13	13	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	10	43	76	680	1	2	1	1	5	22	39	57	172	388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	22	39	57	172	388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	159	0	0	0	30	30	0	0	0	0	0	0	0	0	0	8	255	Jail Level 3	To The Jail Level 3	A1L32	51	15	3	0	0	0	0	0	15	50	55	0	0	0	0	0	1
