Name	description - not loaded	Id	Token	SpawnMax	Selectable0	Selectable1	Selectable2	Selectable3	Selectable4	Selectable5	Selectable6	Selectable7	TrapProb	SizeX	SizeY	nTgtFX	nTgtFY	nTgtBX	nTgtBY	FrameCnt0	FrameCnt1	FrameCnt2	FrameCnt3	FrameCnt4	FrameCnt5	FrameCnt6	FrameCnt7	FrameDelta0	FrameDelta1	FrameDelta2	FrameDelta3	FrameDelta4	FrameDelta5	FrameDelta6	FrameDelta7	CycleAnim0	CycleAnim1	CycleAnim2	CycleAnim3	CycleAnim4	CycleAnim5	CycleAnim6	CycleAnim7	Lit0	Lit1	Lit2	Lit3	Lit4	Lit5	Lit6	Lit7	BlocksLight0	BlocksLight1	BlocksLight2	BlocksLight3	BlocksLight4	BlocksLight5	BlocksLight6	BlocksLight7	HasCollision0	HasCollision1	HasCollision2	HasCollision3	HasCollision4	HasCollision5	HasCollision6	HasCollision7	IsAttackable0	Start0	Start1	Start2	Start3	Start4	Start5	Start6	Start7	EnvEffect	IsDoor	BlocksVis	Orientation	Trans	OrderFlag0	OrderFlag1	OrderFlag2	OrderFlag3	OrderFlag4	OrderFlag5	OrderFlag6	OrderFlag7	PreOperate	Mode0	Mode1	Mode2	Mode3	Mode4	Mode5	Mode6	Mode7	Yoffset	Xoffset	Draw	Red	Green	Blue	HD	TR	LG	RA	LA	RH	LH	SH	S1	S2	S3	S4	S5	S6	S7	S8	TotalPieces	SubClass	Xspace	Yspace	NameOffset	MonsterOK	OperateRange	ShrineFunction	Restore	Parm0	Parm1	Parm2	Parm3	Parm4	Parm5	Parm6	Parm7	Act	Lockable	Gore	Sync	Flicker	Damage	Beta	Overlay	CollisionSubst	Left	Top	Width	Height	OperateFn	PopulateFn	InitFn	ClientFn	RestoreVirgins	BlockMissile	DrawUnder	OpenWarp	AutoMap
Dummy	Bench	10	BE	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	1	0	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-70	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Barrel	BarrelExploding	11	BX	1	1	0	0	1	1	1	1	1	0	1	1	0	0	0	0	1	9	1	0	0	0	0	0	210	160	0	256	256	256	256	256	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	9	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	0	2	2	-70	1	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	100	1	0	0	0	0	0	0	7	0	0	0	1	0	1	0	0
Dummy	RogueFountain	12	FN	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	9	0	0	0	0	0	0	0	128	256	256	256	256	256	256	256	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-70	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Door	Door Gate Left	13	D1	0	1	0	1	0	1	1	1	1	0	1	3	0	0	0	0	1	1	1	1	1	1	1	1	256	256	256	256	256	256	256	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	0	4	1	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-70	1	6	0	1	-20	-80	40	40	0	0	0	0	1	0	0	1	0	100	1	0	0	-20	-80	40	40	8	0	5	0	0	0	0	0	0
Door	Door Gate Right	14	D2	0	1	0	1	0	1	1	1	1	0	3	1	0	0	0	0	1	1	1	1	1	1	1	1	256	256	256	256	256	256	256	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	0	4	1	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-70	1	6	0	1	-20	-80	40	40	0	0	0	0	1	0	0	1	0	100	1	0	0	-20	-80	40	40	8	0	0	0	0	0	0	0	0
Door	Door Wooden Left	15	D3	0	1	0	1	0	1	1	1	1	0	1	3	0	0	0	0	1	1	1	1	1	1	1	1	256	256	256	256	256	256	256	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	2	0	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	0	4	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-70	1	6	0	1	-20	-80	40	40	0	0	0	0	1	0	0	1	0	100	1	0	0	-20	-80	40	40	8	0	0	0	0	1	0	0	0
Door	Door Wooden Right	16	D4	0	1	0	1	0	1	1	1	1	0	3	1	0	0	0	0	1	1	1	1	1	1	1	1	256	256	256	256	256	256	256	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	0	3	1	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-70	1	6	0	1	-20	-80	40	40	0	0	0	0	1	0	0	1	0	100	1	0	0	-20	-80	40	40	8	0	0	0	0	1	0	0	0
StoneAlpha	StoneAlpha	17	S1	0	1	0	1	0	1	1	1	1	0	3	3	0	0	0	0	1	3	1	0	0	0	0	0	256	256	256	256	256	256	256	256	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-150	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	100	1	0	0	0	0	0	0	9	0	6	0	0	0	0	0	314
StoneBeta	StoneBeta	18	S2	0	1	0	1	0	1	1	1	1	0	3	3	0	0	0	0	1	3	1	0	0	0	0	0	256	256	256	256	256	256	256	256	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-150	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	100	1	0	0	0	0	0	0	9	0	6	0	0	0	0	0	314
StoneGamma	StoneGamma	19	S3	0	1	0	1	0	1	1	1	1	0	3	3	0	0	0	0	1	3	1	0	0	0	0	0	256	256	256	256	256	256	256	256	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-150	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	100	1	0	0	0	0	0	0	9	0	6	0	0	0	0	0	314
StoneDelta	StoneDelta	20	S4	0	1	0	1	0	1	1	1	1	0	3	3	0	0	0	0	1	3	1	0	0	0	0	0	256	256	256	256	256	256	256	256	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-150	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	100	1	0	0	0	0	0	0	9	0	6	0	0	0	0	0	314
StoneLambda	StoneLambda	21	S5	0	1	0	1	0	1	1	1	1	0	3	3	0	0	0	0	1	3	1	0	0	0	0	0	256	256	256	256	256	256	256	256	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-150	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	100	1	0	0	0	0	0	0	9	0	6	0	0	0	0	0	314
StoneTheta	StoneTheta	22	S6	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	1	0	0	0	0	0	0	0	256	256	256	256	256	256	256	256	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-150	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	100	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	314
Door	Door Courtyard Left	23	D5	0	1	0	1	0	1	1	1	1	0	1	7	0	0	0	0	1	3	1	3	1	1	1	1	256	256	256	256	256	256	256	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	1	2	0	2	2	2	2	2	2	2	2	0	1	1	1	1	1	1	1	0	1	1	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-70	1	6	0	1	-20	-80	40	40	0	0	0	0	1	0	0	1	0	100	1	0	0	-20	-80	40	40	8	0	0	0	0	1	0	0	0
Door	Door Courtyard Right	24	D6	0	1	0	1	0	1	1	1	1	0	7	1	0	0	0	0	1	3	1	3	1	1	1	1	256	256	256	256	256	256	256	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	1	1	0	2	2	2	2	2	2	2	2	0	1	1	1	1	1	1	1	0	1	1	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-70	1	6	0	1	-20	-80	40	40	0	0	0	0	1	0	0	1	0	100	1	0	0	-20	-80	40	40	8	0	0	0	0	1	0	0	0
Door	Door Cathedral Double	25	D7	0	1	0	1	0	1	1	1	1	0	9	1	0	0	0	0	1	4	1	4	1	1	1	1	256	256	256	256	256	256	256	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	1	1	0	2	2	2	2	2	2	2	2	0	1	1	1	1	1	1	1	0	-11	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-70	1	6	0	1	-20	-80	40	40	0	0	0	0	1	0	0	1	0	100	1	0	0	-20	-80	40	40	8	0	0	0	0	1	0	0	0
Gibbet	Cain's Been Captured	26	GI	0	1	0	0	0	0	0	0	0	0	3	3	0	0	0	0	4	28	1	1	0	0	0	0	14	90	0	0	128	128	128	128	1	0	0	0	0	0	0	0	5	10	5	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	28	29	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	15	-14	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-150	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	100	1	0	0	0	0	0	0	10	0	7	0	0	0	0	0	0
Door	Door Monastery Double Right	27	D8	0	1	0	1	0	1	1	1	1	0	7	1	0	0	0	0	1	4	1	4	1	1	1	1	256	256	256	256	256	256	256	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	1	1	0	2	2	2	2	2	2	2	2	0	1	1	1	1	1	1	1	0	1	1	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-70	1	6	0	1	-20	-80	40	40	0	0	0	0	1	0	0	1	0	100	1	0	0	-20	-80	40	40	8	0	0	0	0	1	0	0	0
HoleAnim	Hole in Ground	28	HI	1	1	0	0	0	0	0	0	0	0	5	3	0	3	0	0	1	9	1	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-50	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	100	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Dummy	Brazier	29	BR	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	20	20	0	0	0	0	0	200	200	200	200	200	200	200	50	0	0	1	0	0	0	0	0	0	19	18	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	255	236	176	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	-90	0	2	0	1	0	0	0	0	0	5	2	0	7	0	0	0	1	100	1	0	0	0	0	0	0	11	0	8	0	0	0	0	0	0
Inifuss	inifuss tree	30	IT	1	1	0	0	0	0	0	0	0	0	5	5	0	3	0	0	1	1	1	1	1	1	1	1	50	50	59	50	50	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-250	0	6	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	100	1	0	1	-40	-40	80	80	12	0	9	0	0	0	0	0	313
Dummy	Fountain	31	BF	1	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	6	6	0	0	0	0	0	0	60	60	128	256	256	256	256	256	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-70	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dummy	crucifix	32	CL	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-70	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dummy	Candles1	33	A1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	10	10	10	10	10	10	10	10	128	256	256	256	256	256	256	256	1	0	0	0	0	0	0	0	18	18	18	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	255	255	213	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-70	0	2	0	1	0	0	0	0	0	5	2	0	1	0	0	0	1	100	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Dummy	Candles2	34	A2	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	10	10	10	10	10	10	10	10	128	256	256	256	256	256	256	256	1	0	0	0	0	0	0	0	18	18	18	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	255	255	213	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-70	0	2	0	1	0	0	0	0	0	5	2	0	1	0	0	0	1	100	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Dummy	Standard1	35	N1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	10	10	10	10	10	10	10	10	128	256	256	256	256	256	256	256	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-70	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
